"TIME","GEO","UNIT","ICCS","Value","Flag and Footnotes"
"2009-01-01T00:00:00","Northern Ireland (UK)","Number","Robbery","1,276",""
"2010-01-01T00:00:00","Northern Ireland (UK)","Number","Robbery","1,306",""
"2011-01-01T00:00:00","Northern Ireland (UK)","Number","Robbery","1,221",""
"2012-01-01T00:00:00","Northern Ireland (UK)","Number","Robbery","1,014",""
"2003-01-01T00:00:00","Iceland","Number","Robbery","39",""
"2004-01-01T00:00:00","Iceland","Number","Robbery","35",""
"2005-01-01T00:00:00","Iceland","Number","Robbery","49",""
"2006-01-01T00:00:00","Iceland","Number","Robbery","50",""
"2007-01-01T00:00:00","Iceland","Number","Robbery","42",""
"2008-01-01T00:00:00","Iceland","Number","Robbery","43",""
"2009-01-01T00:00:00","Iceland","Number","Robbery","60",""
"2010-01-01T00:00:00","Iceland","Number","Robbery","42",""
"2011-01-01T00:00:00","Iceland","Number","Robbery","42",""
"2012-01-01T00:00:00","Iceland","Number","Robbery","50",""
"2003-01-01T00:00:00","Liechtenstein","Number","Robbery","3",""
"2004-01-01T00:00:00","Liechtenstein","Number","Robbery","2",""
"2005-01-01T00:00:00","Liechtenstein","Number","Robbery","1",""
"2006-01-01T00:00:00","Liechtenstein","Number","Robbery","4",""
"2007-01-01T00:00:00","Liechtenstein","Number","Robbery","5",""
"2008-01-01T00:00:00","Liechtenstein","Number","Robbery","1",""
"2009-01-01T00:00:00","Liechtenstein","Number","Robbery","2",""
"2010-01-01T00:00:00","Liechtenstein","Number","Robbery","2",""
"2011-01-01T00:00:00","Liechtenstein","Number","Robbery","1",""
"2012-01-01T00:00:00","Liechtenstein","Number","Robbery","5",""
"2003-01-01T00:00:00","Norway","Number","Robbery","1,437",""
"2004-01-01T00:00:00","Norway","Number","Robbery","1,596",""
"2005-01-01T00:00:00","Norway","Number","Robbery","1,448",""
"2006-01-01T00:00:00","Norway","Number","Robbery","1,388",""
"2007-01-01T00:00:00","Norway","Number","Robbery","1,464",""
"2008-01-01T00:00:00","Norway","Number","Robbery","1,598",""
"2009-01-01T00:00:00","Norway","Number","Robbery","1,776",""
"2010-01-01T00:00:00","Norway","Number","Robbery","1,687",""
"2011-01-01T00:00:00","Norway","Number","Robbery","1,623",""
"2012-01-01T00:00:00","Norway","Number","Robbery","1,484",""
"2003-01-01T00:00:00","Switzerland","Number","Robbery","4,344",""
"2004-01-01T00:00:00","Switzerland","Number","Robbery","4,749",""
"2005-01-01T00:00:00","Switzerland","Number","Robbery","3,977",""
"2006-01-01T00:00:00","Switzerland","Number","Robbery","4,088",""
"2007-01-01T00:00:00","Switzerland","Number","Robbery","4,481",""
"2008-01-01T00:00:00","Switzerland","Number","Robbery","4,220",""
"2009-01-01T00:00:00","Switzerland","Number","Robbery","3,530",""
"2010-01-01T00:00:00","Switzerland","Number","Robbery","2,853",""
