Id,Country,City,Latitude,Longitude,Altitude,"position.minLat","position.maxLat","position.minLong","position.maxLong","position.lat","position.long","position.Altitude"
110,Albania,Gramsh,"40.8697222","20.1844444","342.0","40.864722199999996","40.8747222","20.1794444","20.1894444","40.8697222","20.1844444","342.0"
111,Albania,Bulqize,"41.4916667","20.2219448","729.0","41.4866667","41.496666700000006","20.2169448","20.2269448","41.4916667","20.2219448","729.0"
112,Albania,Kamez,"41.3816667","19.7602787","73.0","41.376666699999994","41.3866667","19.7552787","19.7652787","41.3816667","19.7602787","73.0"
113,Albania,Permet,"40.2336111","20.3516674","281.0","40.228611099999995","40.2386111","20.3466674","20.3566674","40.2336111","20.3516674","281.0"
114,Albania,Polican,"40.6122222","20.0980549","407.0","40.607222199999995","40.6172222","20.093054900000002","20.1030549","40.6122222","20.0980549","407.0"
115,Albania,"Fushe-Kruje","41.4783333","19.7177773","41.0","41.4733333","41.483333300000005","19.712777300000003","19.7227773","41.4783333","19.7177773","41.0"
116,Albania,Ballsh,"40.5988889","19.7347221","232.0","40.593888899999996","40.6038889","19.7297221","19.739722099999998","40.5988889","19.7347221","232.0"
117,Albania,Rreshen,"41.7675000","19.8755550","129.0","41.762499999999996","41.7725","19.870555","19.880554999999998","41.7675","19.875555","129.0"
118,Albania,Mamurras,"41.5775000","19.6922226","79.0","41.5725","41.5825","19.687222600000002","19.6972226","41.5775","19.6922226","79.0"
119,Albania,"Bajram Curri","42.3572222","20.0730553","313.0","42.3522222","42.362222200000005","20.0680553","20.0780553","42.3572222","20.0730553","313.0"
120,Albania,Erseke,"40.3377778","20.6788883","1024.0","40.332777799999995","40.3427778","20.6738883","20.6838883","40.3377778","20.6788883","1024.0"
121,Albania,Peqin,"41.0461111","19.7511120","37.0","41.041111099999995","41.0511111","19.746112","19.756111999999998","41.0461111","19.751112","37.0"
122,Albania,Bilisht,"40.6275000","20.9899998","946.0","40.622499999999995","40.6325","20.9849998","20.9949998","40.6275","20.9899998","946.0"
123,Albania,Selenice,"40.5305556","19.6358337","113.0","40.5255556","40.5355556","19.6308337","19.640833699999998","40.5305556","19.6358337","113.0"
124,Albania,Roskovec,"40.7375000","19.7022228","24.0","40.732499999999995","40.7425","19.697222800000002","19.7072228","40.7375","19.7022228","24.0"
125,Albania,Puke,"42.0444444","19.8997231","795.0","42.0394444","42.049444400000006","19.8947231","19.9047231","42.0444444","19.8997231","795.0"
126,Albania,Rrogozhine,"41.0763889","19.6652775","48.0","41.071388899999995","41.0813889","19.6602775","19.670277499999997","41.0763889","19.6652775","48.0"
127,Albania,Vore,"41.3908333","19.6550007","74.0","41.385833299999994","41.3958333","19.6500007","19.660000699999998","41.3908333","19.6550007","74.0"
128,Albania,Memaliaj,"40.3516667","19.9802780","141.0","40.3466667","40.356666700000005","19.975278","19.985277999999997","40.3516667","19.980278","141.0"
129,Albania,"Ura Vajgurore","40.7688889","19.8777771","30.0","40.7638889","40.7738889","19.8727771","19.8827771","40.7688889","19.8777771","30.0"
130,Albania,Himare,"40.1016667","19.7447224","60.0","40.0966667","40.106666700000005","19.7397224","19.7497224","40.1016667","19.7447224","60.0"
131,Albania,Koplik,"42.2136111","19.4363880","71.0","42.2086111","42.218611100000004","19.431388000000002","19.441388","42.2136111","19.436388","71.0"
132,Albania,"Perrenjas-Fshat","41.0666667","20.5352783","562.0","41.061666699999996","41.0716667","20.530278300000003","20.5402783","41.0666667","20.5352783","562.0"
133,Albania,Delvine,"39.9511111","20.0977783","255.0","39.946111099999996","39.9561111","20.092778300000003","20.1027783","39.9511111","20.0977783","255.0"
134,Albania,Maliq,"40.7058333","20.6997223","824.0","40.7008333","40.710833300000004","20.694722300000002","20.7047223","40.7058333","20.6997223","824.0"
135,Albania,Libohove,"40.0311111","20.2630558","536.0","40.026111099999994","40.0361111","20.2580558","20.2680558","40.0311111","20.2630558","536.0"
136,Albania,Shengjin,"41.8136111","19.5938892","-9999.0","41.8086111","41.818611100000005","19.5888892","19.5988892","41.8136111","19.5938892","-9999.0"
137,Albania,Leskovik,"40.1513889","20.5972214","908.0","40.1463889","40.1563889","20.5922214","20.602221399999998","40.1513889","20.5972214","908.0"
